Date/Time	TTT monthly m [°C]	T soil [°C] (organic soil)	T soil [°C] (mineral soil at 10 cm depth)	T soil [°C] (mineral soil at 25 cm depth)
2001-07	16.30	12.67	11.64	9.83
2001-08	18.90	14.95	13.57	11.32
2001-09	14.32	13.14	12.62	11.09
2001-10	8.75	9.64	9.80	9.49
2001-11	2.51		6.20	6.59
2001-12	-1.55		4.76	4.75
2002-01			2.57	2.66
2002-02			2.24	1.96
2002-03	-2.68		1.53	1.35
2002-04	2.64		2.35	1.67
2002-05	8.25		4.80	3.55
2002-06	12.80	6.98		6.94
2002-07	16.68	10.65		10.67
2002-08	18.21	12.05		12.10
2002-09	14.04	11.51		11.42
2002-10	4.66			8.72
2002-11	-0.62	3.25	4.51	5.78
2002-12	-4.92	0.01	1.26	3.00
2003-01		0.64	1.17	2.19
2003-02		0.68	1.06	1.72
2003-03		0.71	0.85	1.39
2003-04	0.81	2.06	1.22	1.21
2003-05	8.72	7.39	5.58	3.44
2003-06	15.17	10.62	8.96	7.16
2003-07	18.08	14.12	12.22	10.40
2003-08	17.89	15.09	13.58	12.05
2003-09	14.77	13.14	12.28	11.32
2003-10	7.30	9.04	9.11	9.44
2003-11	1.81	5.07	5.56	6.56
2003-12	-3.60	1.38	2.11	3.39
2004-01	-14.33	-1.26	-0.15	1.50
2004-02	-6.91	-1.10	-0.93	0.25
2004-03	-2.49	-0.47	-0.43	0.14
2004-04	3.52	0.18	-0.17	0.14
2004-05	9.61	3.87	3.06	1.83
2004-06	13.29	8.76	7.53	5.89
2004-07	16.68	12.53	11.22	9.28
2004-08	17.37	14.11	12.95	11.42
2004-09	13.18	12.23	11.78	11.12
2004-10	7.65	8.63	8.89	9.15
2004-11	0.67	3.69	4.72	5.76
2004-12	-5.56	0.59	1.85	3.11
2005-01	-10.89	-0.48	0.45	1.46
2005-02	-5.59	-0.13	0.19	0.90
2005-03	-3.26	-0.05	0.12	0.74
2005-04	4.65	1.01	0.53	0.73
2005-05	7.29	5.15	4.00	3.29
2005-06	16.22	11.45	9.38	7.46
2005-07	18.09	14.18	12.52	10.50
2005-08	18.25	14.80	13.51	11.83
2005-09	14.83	13.58	13.00	12.04
2005-10	8.10	9.05	9.27	9.62
2005-11	2.62	4.85	5.56	6.38
2005-12	-5.17	0.60	2.09	3.39
2006-01	-3.73	-0.20	0.55	1.47
2006-02	-6.95	-1.23	0.03	0.94
2006-03	-1.41	-0.59	-0.41	0.30
2006-04	5.04	1.04	-0.07	0.29
2006-05	11.10	5.95	3.47	2.61
2006-06	15.39	11.75	9.48	7.99
2006-07	19.33	15.80	13.36	11.46
2006-08	16.01	14.38	13.46	12.24
2006-09	13.42	12.48	12.06	11.29
2006-10	7.41	7.70	8.90	9.15
2006-11	4.36	5.33	6.38	6.98
2006-12	-1.86	1.43	3.54	4.59
2007-01	-7.50	-0.52	1.47	2.54
2007-02	-10.28	-1.65	0.19	1.33
2007-03	-3.29	-0.50	0.01	0.76
2007-04	1.78	0.04	0.09	0.75
2007-05	10.14	5.49	3.14	2.66
2007-06	15.17	11.49	8.66	7.29
2007-07	17.55	14.31	11.65	10.15
2007-08	17.15	14.62	12.87	11.89
2007-09	13.95	12.73	11.74	11.35
2007-10	9.41	9.69	9.90	9.96
2007-11	0.15	3.03	5.13	5.92
2007-12	-7.20	0.24	2.22	3.02
2008-01	-6.44	0.24	1.65	2.25
2008-02	-6.46	-0.59	0.72	1.29
2008-03	-4.00	-0.58	0.46	0.87
2008-04	5.14	1.03	0.94	1.17
2008-05	9.58	6.71	4.91	4.30
2008-06	14.99	11.95	9.13	7.99
2008-07	19.17	15.75	12.51	11.11
2008-08	16.15	14.26	12.66	11.99
2008-09	12.94	12.50	11.93	11.58
2008-10	6.61	7.96	8.97	9.20
2008-11	1.74	4.32	5.96	6.47
2008-12	-4.87	0.85	2.52	3.15
2009-01	-11.61	-0.97	0.88	1.58
2009-02	-6.48	-0.47	0.57	1.09
2009-03	-2.92	-0.35	0.57	0.83
2009-04	5.19	2.10	1.70	1.59
2009-05	9.98	7.63	6.07	5.42
2009-06	13.47	11.03	8.93	8.05
2009-07	16.13	13.64	11.50	10.58
2009-08	18.22	15.74	13.63	12.66
2009-09	12.45	11.94	11.53	11.23
2009-10	4.72	6.52	7.93	8.27
2009-11	4.46	5.19	6.27	6.52
2009-12	-5.57	1.67	3.57	4.15
2010-01	-6.60	0.68	2.13	2.52
2010-02	-4.66	-0.39	1.19	1.73
2010-03	1.02	0.31	1.09	1.44
2010-04	6.27	4.97	4.17	3.81
2010-05	11.24	8.73	7.04	6.30
2010-06	14.22	12.03	9.97	9.09
2010-07	18.49	15.90	13.18	11.99
2010-08	17.28	15.29	13.30	12.35
2010-09	13.19	13.19	12.49	12.03
2010-10	5.90	8.70	9.63	9.86
2010-11	0.54	4.30	5.97	6.65
2010-12	-5.83	1.54	3.20	3.90
2011-01	-9.86	0.46	1.94	2.50
2011-02	-9.19	0.40	1.60	2.10
2011-03	-4.42	0.46	1.27	1.65
2011-04	1.46	2.16	2.14	2.00
2011-05	8.12	7.99	6.37	5.60
2011-06	14.65	11.44	9.38	8.61
2011-07	19.31	15.12	12.30	11.25
2011-08	17.37	15.02	13.16	12.43
2011-09	16.60	13.82	12.81	12.39
2011-10	11.07	9.70	10.42	10.62
2012-10		11.51		
2012-11	-0.03	5.17	5.92	6.82
2012-12	-3.49	0.42	1.78	3.30
2013-01	-7.77	-0.18	0.73	2.14
2013-02	-6.36			1.69
2013-03	-2.07			1.55
2013-04	2.89			1.72
2013-05	9.71			5.61
2013-06	15.10	10.54	8.96	8.69
2013-07	18.93	14.72	12.50	12.00
2013-08	16.96	13.71	12.91	12.74
2013-09	12.87	11.11	12.01	12.28
2013-10	8.40	7.67	9.69	10.10
2013-11	0.16	3.07	5.65	6.46
2013-12	-7.25	0.17	2.16	3.39
2014-01	-8.69	-0.62	0.77	1.81
2014-02	-7.89	-0.85	0.10	1.17
2014-03	-6.42	-0.56	0.06	0.94
2014-04	2.41	0.05	0.01	0.79
2014-05	9.40	5.69	3.58	3.63
2014-09	13.40	11.87	11.68	11.44
2014-10	8.70	8.90	9.92	9.91
2014-11	-0.24	2.61	5.60	5.84
2014-12	-3.17	0.25	2.27	2.35
2015-01	-10.51	-1.01	0.46	0.98
2015-02	-14.95	-0.83	-0.16	0.29
2015-03	-6.34	-0.60	-0.07	0.29
2015-04	1.57	-0.17	0.29	0.01
2015-05	11.39	6.91	4.99	3.56
2015-06	12.41	9.90	8.06	7.76
2015-07	17.03	13.62	11.04	10.50
2015-08	18.30	15.66	13.28	12.68
2015-09	15.93	14.50	13.21	12.94
2015-10	5.52	8.21	9.18	9.46
2015-11	2.09	5.12	6.41	6.56
2015-12	-0.41	2.47	3.84	3.79
2016-01	-6.47	0.40	1.95	1.95
2016-02	-4.30	-0.09	1.21	0.75
2016-03	-1.56	-0.29	0.75	0.29
2016-04	3.49	1.53	1.85	0.88
2016-05	9.96	6.93	5.39	4.38
2016-06	13.93	10.73	8.84	7.90
2016-07	18.17	14.29	11.93	10.80
2016-08	18.16	15.28	13.33	12.35
2016-09	14.02	13.45		12.09
